day,new_accounts,anonymous_messages_pct,total_messages,topics_change_pct
2025-03-09,2,33.33,6,0
2025-03-10,0,48.23,141,766.67
2025-03-11,1,53.22,171,65.38
2025-03-12,1,49.25,201,48.84
2025-03-13,2,53.16,158,28.12
2025-03-14,1,47.96,221,18.29
2025-03-15,2,48.70,193,24.74
2025-03-16,2,54.40,182,14.88
2025-03-17,0,45.99,187,15.83
2025-03-18,5,49.47,188,11.18
2025-03-19,2,50.00,158,9.5
2025-03-20,1,51.81,166,10.2
2025-03-21,1,47.42,194,8.8
2025-03-22,3,52.89,121,4.26
2025-03-23,2,53.21,109,4.9
2025-03-24,2,49.66,149,5.45
2025-03-25,2,45.00,140,3.69
2025-03-26,0,53.51,114,4.63
2025-03-27,2,57.76,116,3.74
2025-03-28,0,45.05,182,5.25
2025-03-29,0,50.00,140,4.67
2025-03-30,0,48.97,145,5.06
2025-03-31,1,51.06,94,1.98
2025-04-01,1,52.78,108,3.89
2025-04-02,1,51.97,127,2.67
2025-04-03,2,49.30,142,2.6
2025-04-04,1,47.96,98,2.54
2025-04-05,3,49.02,102,2.48
2025-04-06,1,48.57,140,3.14
2025-04-07,1,49.68,157,4.22
